yyyymm	yyyymm2	av	hi
1910/1/1	1910/1/10	7	17.9
1910/1/11	1910/1/20	4.6	13.2
1910/1/21	1910/1/31	4.6	13.5
1910/2/1	1910/2/10	2.1	10.8
1910/2/11	1910/2/20	2.4	11.2
1910/2/21	1910/2/28	4.1	12.7
1910/3/1	1910/3/10	2.3	10.8
1910/3/11	1910/3/20	5.6	15.7
1910/3/21	1910/3/31	9.5	21.3
1910/4/1	1910/4/10	9.3	18.8
1910/4/11	1910/4/20	13.9	22.6
1910/4/21	1910/4/30	14.3	22.8
1910/5/1	1910/5/10	15.9	25.3
1910/5/11	1910/5/20	17.5	27.7
1910/5/21	1910/5/31	18.9	28.3
1910/6/1	1910/6/10	20.8	28.8
1910/6/11	1910/6/20	22.7	31.2
1910/6/21	1910/6/30	22.5	31.2
1910/7/1	1910/7/10	24.2	32.6
1910/7/11	1910/7/20	25.9	33.5
1910/7/21	1910/7/31	26.5	34.5
1910/8/1	1910/8/10	25.5	33.5
1910/8/11	1910/8/20	24.5	32.1
1910/8/21	1910/8/31	26.6	34.8
1910/9/1	1910/9/10	26.2	32
1910/9/11	1910/9/20	20.4	29.3
1910/9/21	1910/9/30	20.1	30.3
1910/10/1	1910/10/10	17.9	26.2
1910/10/11	1910/10/20	16.5	23.8
1910/10/21	1910/10/31	15.7	25.7
1910/11/1	1910/11/10	12.9	22.5
1910/11/11	1910/11/20	10.2	19.9
1910/11/21	1910/11/30	8.6	18.8
1910/12/1	1910/12/10	6.4	19
1910/12/11	1910/12/20	3.1	11.2
1910/12/21	1910/12/31	4	11.7
1911/1/1	1911/1/10	2.2	11.1
1911/1/11	1911/1/20	3.1	13.1
1911/1/21	1911/1/31	5.3	16.7
1911/2/1	1911/2/10	4.2	11.7
1911/2/11	1911/2/20	4.6	15.5
1911/2/21	1911/2/28	6	16.7
1911/3/1	1911/3/10	8.2	18.1
1911/3/11	1911/3/20	7.4	16.4
1911/3/21	1911/3/31	9.8	22
1911/4/1	1911/4/10	11.2	20.7
1911/4/11	1911/4/20	13.6	21.7
1911/4/21	1911/4/30	15	26.6
1911/5/1	1911/5/10	15.1	26.3
1911/5/11	1911/5/20	17.1	28.6
1911/5/21	1911/5/31	19	27.5
1911/6/1	1911/6/10	21.5	31.3
1911/6/11	1911/6/20	22.4	30.6
1911/6/21	1911/6/30	21.7	28.3
1911/7/1	1911/7/10	24.1	34.4
1911/7/11	1911/7/20	28.3	35.7
1911/7/21	1911/7/31	26.6	35
1911/8/1	1911/8/10	25	32.5
1911/8/11	1911/8/20	26.5	33
1911/8/21	1911/8/31	26.8	34.1
1911/9/1	1911/9/10	25.2	31.9
1911/9/11	1911/9/20	24.2	31.2
1911/9/21	1911/9/30	22	30.4
1911/10/1	1911/10/10	18.7	26.5
1911/10/11	1911/10/20	15.4	23
1911/10/21	1911/10/31	14.3	23.4
1911/11/1	1911/11/10	11.7	19.8
1911/11/11	1911/11/20	13.4	21.4
1911/11/21	1911/11/30	11.1	22.4
1911/12/1	1911/12/10	7.2	16.8
1911/12/11	1911/12/20	5.2	15
1911/12/21	1911/12/31	3.9	12.9
1912/1/1	1912/1/10	3	11.6
1912/1/11	1912/1/20	1.7	10
1912/1/21	1912/1/31	3.6	11.3
1912/2/1	1912/2/10	4.9	13.7
1912/2/11	1912/2/20	4.9	15
1912/2/21	1912/2/29	9.9	20
1912/3/1	1912/3/10	8.8	16.4
1912/3/11	1912/3/20	6.1	16.6
1912/3/21	1912/3/31	9.3	19.4
1912/4/1	1912/4/10	9.4	19.5
1912/4/11	1912/4/20	13.2	24.4
1912/4/21	1912/4/30	16.3	26.9
1912/5/1	1912/5/10	17.1	26.7
1912/5/11	1912/5/20	17.6	30
1912/5/21	1912/5/31	17.9	28
1912/6/1	1912/6/10	20.6	28.8
1912/6/11	1912/6/20	22.1	29.6
1912/6/21	1912/6/30	22.4	29.8
1912/7/1	1912/7/10	23	30.9
1912/7/11	1912/7/20	27	34.4
1912/7/21	1912/7/31	25.1	34.7
1912/8/1	1912/8/10	26.8	33.8
1912/8/11	1912/8/20	26.9	33.9
1912/8/21	1912/8/31	27.1	33.6
1912/9/1	1912/9/10	25.1	32.4
1912/9/11	1912/9/20	21.1	28.4
1912/9/21	1912/9/30	19.5	27
1912/10/1	1912/10/10	18.8	28.4
1912/10/11	1912/10/20	15.2	25.1
1912/10/21	1912/10/31	15.4	25
1912/11/1	1912/11/10	12.4	25
1912/11/11	1912/11/20	8.8	18.7
1912/11/21	1912/11/30	8.5	18.9
1912/12/1	1912/12/10	5.6	13.9
